city,timestamp,temperature,season
New York,2010-01-01,6.3611261928878635,winter
New York,2010-01-02,5.55623476589969,winter
New York,2010-01-03,-4.547291570106889,winter
New York,2010-01-04,1.4170430210683393,winter
New York,2010-01-05,-11.3992717131197,winter
New York,2010-01-06,0.32772901347773775,winter
New York,2010-01-07,5.3947968942780955,winter
New York,2010-01-08,-5.1973922863478865,winter
New York,2010-01-09,7.980361088376949,winter
New York,2010-01-10,-0.1950531778265829,winter
New York,2010-01-11,9.978530006741902,winter
New York,2010-01-12,6.195155599346723,winter
New York,2010-01-13,-1.3725226977899652,winter
New York,2010-01-14,3.1507412415222675,winter
New York,2010-01-15,1.3624491848255096,winter
New York,2010-01-16,9.3042205326024,winter
New York,2010-01-17,-0.5954191102348171,winter
New York,2010-01-18,-3.4057052098903244,winter
New York,2010-01-19,-4.985761476869985,winter
New York,2010-01-20,4.763285096642559,winter
New York,2010-01-21,5.801476897361248,winter
New York,2010-01-22,0.2547980876349774,winter
New York,2010-01-23,-0.15908433124302496,winter
New York,2010-01-24,-2.4494705191443535,winter
New York,2010-01-25,3.3077437670884895,winter
New York,2010-01-26,-6.495169138005644,winter
New York,2010-01-27,-0.19775701305497612,winter
New York,2010-01-28,7.188299451575077,winter
New York,2010-01-29,-4.732538004262709,winter
New York,2010-01-30,3.1723385484222977,winter
New York,2010-01-31,1.416311606337549,winter
New York,2010-02-01,8.244225950544994,winter
New York,2010-02-02,-6.805689155633424,winter
New York,2010-02-03,1.9918321395053242,winter
New York,2010-02-04,1.8225438609812914,winter
New York,2010-02-05,-0.8146678759442659,winter
New York,2010-02-06,0.09981096470006835,winter
New York,2010-02-07,-1.0570794592187325,winter
New York,2010-02-08,-9.342402461896702,winter
New York,2010-02-09,-1.8128224582314205,winter
New York,2010-02-10,-8.891441256029957,winter
New York,2010-02-11,1.9976095879606124,winter
New York,2010-02-12,0.34429966673133916,winter
New York,2010-02-13,-9.953543459766635,winter
New York,2010-02-14,5.466043321030885,winter
New York,2010-02-15,0.11200360870172951,winter
New York,2010-02-16,2.0140293609386237,winter
New York,2010-02-17,2.070570111447659,winter
New York,2010-02-18,2.6435266989156374,winter
New York,2010-02-19,-0.795930801583216,winter
New York,2010-02-20,6.389690787047478,winter
New York,2010-02-21,-1.537701376522732,winter
New York,2010-02-22,-1.224181022441356,winter
New York,2010-02-23,-4.282556347627457,winter
New York,2010-02-24,0.12149118799137662,winter
New York,2010-02-25,-4.446762709199141,winter
New York,2010-02-26,-1.968138327831672,winter
New York,2010-02-27,-4.573274670809023,winter
New York,2010-02-28,6.253221190693794,winter
New York,2010-03-01,1.9633305527337797,spring
New York,2010-03-02,6.132733055027197,spring
New York,2010-03-03,7.997372166220901,spring
New York,2010-03-04,8.230746290497889,spring
New York,2010-03-05,16.619804809717934,spring
New York,2010-03-06,4.769242900592196,spring
New York,2010-03-07,5.705527541031385,spring
New York,2010-03-08,14.489522515134102,spring
New York,2010-03-09,10.19229495379957,spring
New York,2010-03-10,13.449715540870649,spring
New York,2010-03-11,12.224078640766406,spring
New York,2010-03-12,10.603882571946118,spring
New York,2010-03-13,16.136219810720817,spring
New York,2010-03-14,10.158354696763128,spring
New York,2010-03-15,14.627156851919981,spring
New York,2010-03-16,12.723073536348112,spring
New York,2010-03-17,12.287462546470824,spring
New York,2010-03-18,8.863660030734817,spring
New York,2010-03-19,15.512235554836197,spring
New York,2010-03-20,8.180414813992876,spring
New York,2010-03-21,-1.5457181982004151,spring
New York,2010-03-22,5.904546990669275,spring
New York,2010-03-23,12.498430320999564,spring
New York,2010-03-24,17.378405296402114,spring
New York,2010-03-25,7.436200000388663,spring
New York,2010-03-26,9.324348966641171,spring
New York,2010-03-27,13.058268849127446,spring
New York,2010-03-28,11.797688641454497,spring
New York,2010-03-29,20.061012105889237,spring
New York,2010-03-30,12.1318156483178,spring
New York,2010-03-31,8.52473592018123,spring
New York,2010-04-01,19.62663082884182,spring
